WK_CODE,WK_NAAM,GM_CODE,GM_NAAM,year,SES,SES_MAD,SES_change,SES_MAD_change
WK000300,Wijk 00,GM0003,Appingedam,,,,,
WK001001,Centrum,GM0010,Delfzijl,,,,,
WK001002,West,GM0010,Delfzijl,,,,,
WK001003,Farmsum,GM0010,Delfzijl,,,,,
WK001004,Tuikwerd,GM0010,Delfzijl,,,,,
WK001005,Fivelzigt,GM0010,Delfzijl,,,,,
WK001006,Noord,GM0010,Delfzijl,,,,,
WK001007,Buitengebied Noord,GM0010,Delfzijl,,,,,
WK001008,Oosterhorn,GM0010,Delfzijl,,,,,
WK001009,Buitengebied Zuid,GM0010,Delfzijl,,,,,
WK001400,Centrum,GM0014,Groningen,2019,-0.549,0.918,0.01,-0.003
WK001401,Oud-Zuid,GM0014,Groningen,2019,-0.33,0.982,0.015,0.015
WK001402,Oud-West,GM0014,Groningen,2019,-0.348,1.009,0.016,0.0129999999999999
WK001403,Oud-Noord,GM0014,Groningen,2019,-0.547,1.006,0.012,0.05
WK001404,Oosterparkwijk,GM0014,Groningen,2019,-0.462,1.045,0.014,0.034
WK001405,Zuidoost,GM0014,Groningen,2019,0.145,0.854,0.023,-0.0580000000000001
WK001406,Helpman e.o.,GM0014,Groningen,2019,-0.018,0.958,0.004,0.0259999999999999
WK001407,Zuidwest,GM0014,Groningen,2019,-0.044,0.927,-0.022,0.029
WK001408,Hoogkerk e.o.,GM0014,Groningen,2019,0.019,0.893,-0.031,0.044
WK001409,Nieuw-West,GM0014,Groningen,2019,-0.278,1.02,0.011,0.05
WK001410,Noordwest,GM0014,Groningen,2019,-0.556,1.011,-0.0730000000000001,0.0459999999999999
WK001411,Noordoost,GM0014,Groningen,2019,-0.156,0.996,-0.031,0.023
WK001412,Noorddijk e.o.,GM0014,Groningen,2019,-0.042,0.893,-0.023,0.027
WK001413,Meerdorpen,GM0014,Groningen,2019,0.3,0.684,0.028,-0.0149999999999999
WK001414,Meerstad e.o.,GM0014,Groningen,2019,0.479,0.589,0.142,-0.122
WK001415,Ten Boer e.o.,GM0014,Groningen,2019,0.164,0.683,-0.034,0.021
WK001416,Ten Post e.o.,GM0014,Groningen,2019,0.214,0.656,0.001,0.001
WK001417,Haren-West e.o.,GM0014,Groningen,2019,0.289,0.726,0.073,-0.023
WK001418,Haren-Oost e.o.,GM0014,Groningen,2019,0.206,0.741,0.00399999999999998,-0.003
WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,2019,0.388,0.639,0.013,0.019
WK002400,Wijk 00,GM0024,Loppersum,,,,,
WK002401,Wijk 01 Stedum,GM0024,Loppersum,,,,,
WK002402,Wijk 02 Middelstum,GM0024,Loppersum,,,,,
WK002403,Wijk 03 't Zandt,GM0024,Loppersum,,,,,
WK003401,Wijk 01 Almere Haven,GM0034,Almere,2019,-0.133,0.904,0.013,-0.015
WK003402,Wijk 02 Almere Stad,GM0034,Almere,2019,0.013,0.847,0,0.001
WK003403,Wijk 03 Almere Buiten,GM0034,Almere,2019,0.021,0.833,0.002,-0.003
WK003404,Wijk 04 Almere Poort,GM0034,Almere,2019,0.21,0.708,0.034,0.005
WK003405,Wijk 05 Almere Hout,GM0034,Almere,2019,0.483,0.515,-0.037,0.017
WK003406,Wijk 06 Almere Pampus,GM0034,Almere,2019,,,,
WK003701,Stadskanaal,GM0037,Stadskanaal,2019,-0.23,0.882,-0.033,0.041
WK003702,Musselkanaal,GM0037,Stadskanaal,2019,-0.206,0.817,-0.013,0.0219999999999999
WK003703,Onstwedde,GM0037,Stadskanaal,2019,0.011,0.735,-0.02,0.026
WK003704,Mussel,GM0037,Stadskanaal,2019,0.152,0.626,-0.026,0.025
WK003705,Alteveer,GM0037,Stadskanaal,2019,0.081,0.659,0.033,-0.0439999999999999
WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,2019,-0.207,0.871,-0.057,0.042
WK004701,Wijk 01 Veendam-buitengebied,GM0047,Veendam,2019,0.172,0.621,0.016,-0.039
WK004702,Wijk 02 Wildervank,GM0047,Veendam,2019,0,0.816,-0.038,0.0289999999999999
WK005000,Wijk 00,GM0050,Zeewolde,2019,0.135,0.733,-0.026,0.02
WK005900,Wijk 00 Noord,GM0059,Achtkarspelen,2019,-0.064,0.798,-0.008,0.017
WK005901,Wijk 01 Centrum,GM0059,Achtkarspelen,2019,0.015,0.739,0.026,-0.01
WK005902,Wijk 02 Zuid,GM0059,Achtkarspelen,2019,-0.09,0.807,0.014,0.016
WK006000,Wijk 00,GM0060,Ameland,2019,0.1,0.652,0.013,-0.017
WK007200,Wijk 00 Harlingen,GM0072,Harlingen,2019,-0.165,0.878,-0.027,0.046
WK007201,Wijk 01 Midlum,GM0072,Harlingen,2019,-0.022,0.795,-0.041,0.018
WK007202,Wijk 02 Wijnaldum,GM0072,Harlingen,2019,-0.004,0.798,-0.049,0.028
WK007401,Wijk 01 Heerenveen,GM0074,Heerenveen,2019,-0.081,0.868,-0.004,0.03
WK007402,Wijk 02 Noord-Heerenveen,GM0074,Heerenveen,2019,0.318,0.562,0.04,-0.0519999999999999
WK007403,Wijk 03 Hoornsterzwaag,GM0074,Heerenveen,2019,0.271,0.643,-0.012,0.035
WK007404,Wijk 04 Jubbega,GM0074,Heerenveen,2019,0.067,0.749,0.002,0.019
WK007406,Wijk 06 Oranjewoud,GM0074,Heerenveen,2019,0.358,0.599,0.027,0.023
WK007407,Skarsterlân,GM0074,Heerenveen,2019,0.224,0.627,0.08,-0.087
WK007409,Boarnsterhim,GM0074,Heerenveen,2019,0.12,0.747,0.00299999999999999,0.002
WK008010,Binnenstad,GM0080,Leeuwarden,2019,-0.507,0.962,0.045,0.00800000000000001
WK008011,Potmargezone,GM0080,Leeuwarden,2019,-0.369,0.99,-0.041,0.025
WK008020,Oud-Oost,GM0080,Leeuwarden,2019,-0.476,0.973,-0.054,0.029
WK008030,Sonnenborgh e.o.,GM0080,Leeuwarden,2019,-0.19,0.981,-0.06,0.079
WK008031,Westeinde e.o.,GM0080,Leeuwarden,2019,-0.011,0.782,-0.039,0.0470000000000001
WK008032,Vossepark & Helicon,GM0080,Leeuwarden,2019,0.118,0.764,0.069,-0.0470000000000001
WK008040,Huizum-West,GM0080,Leeuwarden,2019,-0.173,0.892,-0.037,0.028
WK008041,Nijlân & De Zwette,GM0080,Leeuwarden,2019,-0.347,0.887,-0.073,0.038
WK008050,Heechterp & Schieringen,GM0080,Leeuwarden,2019,-0.822,0.988,-0.0659999999999999,0.031
WK008051,Camminghaburen e.o.,GM0080,Leeuwarden,2019,0.02,0.792,-0.025,0.012
WK008060,Bilgaard & Havankpark e.o.,GM0080,Leeuwarden,2019,-0.631,0.976,-0.034,0.0499999999999999
WK008061,Vrijheidswijk,GM0080,Leeuwarden,2019,-0.634,0.979,-0.012,0.03
WK008062,Dokkumer Ie e.o.,GM0080,Leeuwarden,2019,0.235,0.642,0.04,-0.033
