WK_CODE,WK_NAAM,GM_CODE,GM_NAAM,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,IndelingswijzigingWijkenEnBuurten_4,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Ongehuwd_13,Gehuwd_14,Gescheiden_15,Verweduwd_16,WestersTotaal_17,NietWestersTotaal_18,Marokko_19,NederlandseAntillenEnAruba_20,Suriname_21,Turkije_22,OverigNietWesters_23,GeboorteTotaal_24,GeboorteRelatief_25,SterfteTotaal_26,SterfteRelatief_27,HuishoudensTotaal_28,Eenpersoonshuishoudens_29,HuishoudensZonderKinderen_30,HuishoudensMetKinderen_31,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWOZWaardeVanWoningen_35,PercentageEengezinswoning_36,PercentageMeergezinswoning_37,PercentageBewoond_38,PercentageOnbewoond_39,Koopwoningen_40,HuurwoningenTotaal_41,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,EigendomOnbekend_44,BouwjaarVoor2000_45,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,Appartement_48,Tussenwoning_49,Hoekwoning_50,TweeOnderEenKapWoning_51,VrijstaandeWoning_52,Huurwoning_53,EigenWoning_54,GemiddeldAardgasverbruikTotaal_55,Appartement_56,Tussenwoning_57,Hoekwoning_58,TweeOnderEenKapWoning_59,VrijstaandeWoning_60,Huurwoning_61,EigenWoning_62,PercentageWoningenMetStadsverwarming_63,OpleidingsniveauLaag_64,OpleidingsniveauMiddelbaar_65,OpleidingsniveauHoog_66,Nettoarbeidsparticipatie_67,PercentageWerknemers_68,PercentageZelfstandigen_69,AantalInkomensontvangers_70,GemiddeldInkomenPerInkomensontvanger_71,GemiddeldInkomenPerInwoner_72,k_40PersonenMetLaagsteInkomen_73,k_20PersonenMetHoogsteInkomen_74,GemGestandaardiseerdInkomenVanHuish_75,k_40HuishoudensMetLaagsteInkomen_76,k_20HuishoudensMetHoogsteInkomen_77,HuishoudensMetEenLaagInkomen_78,HuishOnderOfRondSociaalMinimum_79,HuishoudensTot110VanSociaalMinimum_80,HuishoudensTot120VanSociaalMinimum_81,MediaanVermogenVanParticuliereHuish_82,PersonenPerSoortUitkeringBijstand_83,PersonenPerSoortUitkeringAO_84,PersonenPerSoortUitkeringWW_85,PersonenPerSoortUitkeringAOW_86,JongerenMetJeugdzorgInNatura_87,PercentageJongerenMetJeugdzorg_88,WmoClienten_89,WmoClientenRelatief_90,BedrijfsvestigingenTotaal_91,ALandbouwBosbouwEnVisserij_92,BFNijverheidEnEnergie_93,GIHandelEnHoreca_94,HJVervoerInformatieEnCommunicatie_95,KLFinancieleDienstenOnroerendGoed_96,MNZakelijkeDienstverlening_97,OQOverheidOnderwijsEnZorg_98,RUCultuurRecreatieOverigeDiensten_99,PersonenautoSTotaal_100,PersonenautoSBrandstofBenzine_101,PersonenautoSOverigeBrandstof_102,PersonenautoSPerHuishouden_103,PersonenautoSNaarOppervlakte_104,Motorfietsen_105,AfstandTotHuisartsenpraktijk_106,AfstandTotGroteSupermarkt_107,AfstandTotKinderdagverblijf_108,AfstandTotSchool_109,ScholenBinnen3Km_110,OppervlakteTotaal_111,OppervlakteLand_112,OppervlakteWater_113,MeestVoorkomendePostcode_114,Dekkingspercentage_115,MateVanStedelijkheid_116,Omgevingsadressendichtheid_117
WK000300,Wijk 00,GM0003,Appingedam,WK000300,Appingedam,Wijk,1,11640,5670,5970,1630,1270,2315,3470,2950,4955,4795,1085,810,865,845,45,110,80,260,350,75,6,155,13,5525,2095,1760,1680,2.1,490,6042,154,73,27,93,7,48,52,43,9,0,82,18,2480,1780,2480,2620,2540,3180,2150,2810,1260,790,1230,1390,1360,1810,1010,1500,,2660,4330,1600,61,89,11,9300,28.7,23.6,46.9,13,27.6,50.1,11.7,9.3,9.3,14.1,18.7,25.6,460,710,150,2750,275,10.2,890,76,770,35,85,175,45,55,115,160,100,5575,4730,845,1,235,555,1.4,0.9,0.9,0.9,6.4,2458,2378,80,,,3,1066
WK001001,Centrum,GM0010,Delfzijl,WK001001,Delfzijl,Wijk,1,800,420,375,30,60,185,200,330,320,240,105,130,100,80,5,25,15,15,30,5,4,10,14,570,385,135,50,1.4,2906,607,104,19,81,83,17,36,64,31,32,0,99,1,1840,1760,1900,1900,3430,2690,1700,2060,980,870,1250,1470,2160,1790,910,1110,,,,,53,82,18,800,,,52.3,7.3,,74.2,4.4,14,11.6,20.2,29,6.7,70,40,20,300,,,85,106,205,0,10,100,25,15,15,15,25,355,295,55,0.6,1284,30,1.4,0.3,0.5,1.1,8.8,29,27,1,,,4,971
WK001002,West,GM0010,Delfzijl,WK001002,Delfzijl,Wijk,1,3515,1690,1825,425,305,670,910,1210,1300,1550,260,405,270,155,5,40,35,30,45,25,7,80,22,1750,690,605,455,2,2305,1905,135,67,33,93,7,63,36,18,18,0,84,16,2240,1560,2300,2510,2460,2890,1730,2500,1330,790,1300,1440,1530,1970,980,1510,,740,1250,410,64,90,10,2900,30.2,25.6,41.6,13.9,,44,10.4,4.7,5.7,8.5,11.9,40.2,70,120,40,1160,50,7.5,290,83,195,0,20,25,40,10,30,45,25,1705,1455,245,1,1117,165,0.6,0.6,0.5,0.4,10.3,160,152,7,,,3,1211
WK001003,Farmsum,GM0010,Delfzijl,WK001003,Delfzijl,Wijk,1,2215,1140,1080,250,260,410,735,555,895,965,210,150,225,105,0,40,15,15,35,20,7,20,9,1115,440,375,295,2,1089,1138,144,76,24,94,6,67,33,20,13,0,79,21,2620,2090,2340,2580,2590,3230,2280,2790,1380,1020,1280,1410,1390,1660,1280,1420,,510,1010,210,62,88,12,1900,,,44.9,13.9,,47.3,14.4,8,7.2,11.1,13.5,32.8,90,110,40,510,35,7.8,120,54,260,0,45,65,55,25,30,20,20,1445,1175,270,1.3,709,115,1.7,1.4,0.5,0.6,7.7,248,204,45,,,4,684
WK001004,Tuikwerd,GM0010,Delfzijl,WK001004,Delfzijl,Wijk,1,3005,1605,1400,540,375,765,895,430,1585,1020,295,105,270,690,10,220,40,35,385,25,7,40,14,1185,430,315,445,2.2,1768,1209,130,96,4,94,6,56,44,33,11,0,99,1,2620,2030,2550,2390,2830,3360,2440,2760,1240,1180,1180,1250,1150,1570,1260,1230,,840,1110,370,58,91,9,2000,,22,47,14.1,,46.9,11.7,14.3,13.6,18.3,21.1,9.6,180,190,60,390,100,11.9,120,40,120,0,15,20,10,10,20,20,15,1230,1050,180,1,725,125,2.2,2.5,0.8,0.8,9.4,181,170,11,,,4,555
WK001005,Fivelzigt,GM0010,Delfzijl,WK001005,Delfzijl,Wijk,1,1510,730,780,230,165,310,465,340,595,750,95,60,110,50,0,10,10,20,20,10,9,15,9,640,140,250,250,2.4,1937,635,171,100,0,99,1,89,11,9,2,0,100,0,2700,,2550,2610,2950,2760,2010,2780,1390,,1220,1370,1340,1750,1120,1420,,230,630,260,68,94,6,1200,,,34,20.2,,21.5,20.8,2.5,1.9,2.5,3.5,92.1,10,40,30,310,30,8.1,30,20,55,0,5,0,5,5,10,10,10,820,680,140,1.3,1055,55,1.5,1.8,0.6,0.5,10.4,83,78,5,,,4,721
WK001006,Noord,GM0010,Delfzijl,WK001006,Delfzijl,Wijk,1,5760,2805,2950,880,585,1075,1575,1645,2500,2215,545,505,515,1475,15,360,150,445,500,55,10,105,19,2830,1225,795,815,2,2600,2957,114,64,36,94,6,38,62,55,7,0,85,15,2340,1690,2620,2640,2690,3140,2100,2700,1250,910,1330,1480,1410,1820,1180,1350,,1650,1950,380,49,92,8,4500,24.7,19.8,55.7,9.2,24,59.8,6.1,15.5,16.7,24.2,29.7,7.1,450,390,110,1550,170,12.4,555,96,175,0,25,35,20,5,30,30,25,2260,1915,345,0.8,1019,160,1,0.9,0.8,0.9,7.1,232,222,10,,,4,960
WK001007,Buitengebied Noord,GM0010,Delfzijl,WK001007,Delfzijl,Wijk,1,3755,1915,1830,535,445,695,1260,815,1535,1785,245,180,180,60,0,25,10,0,20,30,9,35,8,1640,485,590,570,2.3,79,1784,162,96,4,90,10,79,21,14,6,0,98,2,2930,2810,2320,2300,2440,3240,2370,3060,1720,1440,1260,1500,1430,1900,1570,1760,,770,1610,540,67,82,18,3100,31.2,25.5,41.1,15.7,,33.2,17.4,4.9,4.4,6.7,8.5,84.4,50,150,50,730,80,8.8,125,33,385,90,65,55,25,10,55,45,35,2260,1770,485,1.4,47,295,1.3,1.3,1,1.3,1.6,4792,4764,28,,,5,135
WK001008,Oosterhorn,GM0010,Delfzijl,WK001008,Delfzijl,Wijk,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,110,0,35,10,35,5,15,5,5,65,30,30,,,5,,,,,,1061,975,86,,,5,233
WK001009,Buitengebied Zuid,GM0010,Delfzijl,WK001009,Delfzijl,Wijk,1,4120,2120,2005,555,425,810,1420,905,1695,1885,315,225,250,75,0,15,5,5,45,20,5,30,8,1860,570,665,625,2.2,61,1986,157,95,5,92,8,75,25,18,7,0,93,7,2980,2410,2410,2350,2600,3250,2460,3110,1670,1250,1410,1480,1410,1810,1500,1710,,950,1800,500,66,84,16,3400,30.7,25.3,40.1,15.5,,36.2,14.9,4.9,4.2,6.9,9.5,60.6,50,230,60,820,80,8.6,175,42,380,95,55,65,10,10,55,50,40,2515,1995,520,1.3,37,355,2.1,1.3,2,1.6,0.8,6835,6715,120,,,5,150
WK001400,Centrum,GM0014,Groningen,WK001400,Groningen,Wijk,1,22865,11935,10930,645,9900,7755,2735,1835,19295,2175,1065,330,4420,2775,60,315,220,165,2010,75,3,85,4,17995,14485,2830,680,1.3,10127,12288,200,14,86,91,9,16,81,27,53,3,86,14,1940,1800,2590,2900,2630,3540,1850,2410,940,850,1340,1540,1870,2240,890,1210,3.8,1490,10320,9600,60,86,14,18500,25.1,22.4,58.3,11.9,19.6,79.6,5.4,15.5,13.3,18.7,22.3,-0.5,870,570,400,1670,100,1.3,905,40,4355,5,170,1150,365,285,950,585,845,4140,3150,990,0.2,1834,405,0.3,0.3,0.4,0.6,16.3,241,226,16,,,1,6267
WK001401,Oud-Zuid,GM0014,Groningen,WK001401,Groningen,Wijk,1,19905,9880,10030,1055,6535,7290,3105,1915,16115,2360,1065,370,3180,1745,40,200,160,60,1280,165,8,70,4,14365,10320,2975,1070,1.4,5388,10747,193,17,83,96,4,34,66,25,40,0,91,9,1910,1830,2190,2510,2370,3140,1830,2080,1010,960,1180,1410,1540,1930,970,1080,,1590,7390,9020,65,87,13,16700,28.5,25.4,48.1,15.5,22.4,68,6.8,11.9,10.3,15,17.6,1.9,670,580,340,1730,145,2.6,870,44,2230,5,120,220,235,155,620,480,400,5360,4230,1130,0.4,1451,480,0.4,0.4,0.3,0.5,14.1,387,370,17,,,1,4010
