WK_CODE,WK_NAAM,GM_CODE,GM_NAAM,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,IndelingswijzigingWijkenEnBuurten_4,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Ongehuwd_13,Gehuwd_14,Gescheiden_15,Verweduwd_16,WestersTotaal_17,NietWestersTotaal_18,Marokko_19,NederlandseAntillenEnAruba_20,Suriname_21,Turkije_22,OverigNietWesters_23,GeboorteTotaal_24,GeboorteRelatief_25,SterfteTotaal_26,SterfteRelatief_27,HuishoudensTotaal_28,Eenpersoonshuishoudens_29,HuishoudensZonderKinderen_30,HuishoudensMetKinderen_31,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,PercentageMeergezinswoning_37,PercentageBewoond_38,PercentageOnbewoond_39,Koopwoningen_40,HuurwoningenTotaal_41,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,EigendomOnbekend_44,BouwjaarVoor2000_45,BouwjaarVanaf2000_46,BedrijfsvestigingenTotaal_91,ALandbouwBosbouwEnVisserij_92,BFNijverheidEnEnergie_93,GIHandelEnHoreca_94,HJVervoerInformatieEnCommunicatie_95,KLFinancieleDienstenOnroerendGoed_96,MNZakelijkeDienstverlening_97,OQOverheidOnderwijsEnZorg_98,RUCultuurRecreatieOverigeDiensten_99,PersonenautoSTotaal_100,PersonenautoSBrandstofBenzine_101,PersonenautoSOverigeBrandstof_102,PersonenautoSPerHuishouden_103,PersonenautoSNaarOppervlakte_104,Motorfietsen_105,AfstandTotHuisartsenpraktijk_106,AfstandTotGroteSupermarkt_107,AfstandTotKinderdagverblijf_108,AfstandTotSchool_109,ScholenBinnen3Km_110,OppervlakteTotaal_111,OppervlakteLand_112,OppervlakteWater_113,MeestVoorkomendePostcode_114,Dekkingspercentage_115,MateVanStedelijkheid_116,Omgevingsadressendichtheid_117
WK000300,Wijk 00,GM0003,Appingedam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001001,Centrum,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001002,West,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001003,Farmsum,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001004,Tuikwerd,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001005,Fivelzigt,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001006,Noord,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001007,Buitengebied Noord,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001008,Oosterhorn,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001009,Buitengebied Zuid,GM0010,Delfzijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK001400,Centrum,GM0014,Groningen,WK001400,Groningen,Wijk,1,22735,11875,10860,630,9745,7790,2670,1905,19275,2075,1055,330,4310,2645,60,305,220,160,1895,85,4,100,4,17935,14360,2910,675,1.3,10059,12546,219,14,86,92,8,16,84,27,57,0,86,14,4510,5,195,1190,385,275,970,605,885,4220,3235,980,0.2,1869,390,0.3,0.3,0.3,0.6,15.9,241,226,16,,,1,6353
WK001401,Oud-Zuid,GM0014,Groningen,WK001401,Groningen,Wijk,1,19695,9745,9950,1040,6345,7260,3085,1970,15915,2360,1055,360,3195,1735,40,215,170,55,1255,190,10,60,3,14095,9955,3055,1080,1.4,5323,10808,210,17,83,96,4,33,67,25,42,0,91,9,2375,0,120,255,245,150,680,520,405,5620,4490,1130,0.4,1521,490,0.5,0.4,0.3,0.5,13.8,387,370,17,,,1,4047
WK001402,Oud-West,GM0014,Groningen,WK001402,Groningen,Wijk,1,14055,6905,7150,935,4500,4565,2555,1505,11065,1955,790,250,2260,1380,30,130,120,75,1025,80,6,40,3,9830,6910,1975,950,1.4,12553,7545,236,26,74,95,5,36,63,23,40,0,96,4,1610,0,100,180,130,100,485,335,270,3770,2985,785,0.4,3352,350,0.6,0.3,0.4,0.6,15.7,118,112,6,,,1,5280
WK001403,Oud-Noord,GM0014,Groningen,WK001403,Groningen,Wijk,1,18405,9205,9205,1820,5145,7150,2960,1330,14845,2165,1125,280,2505,3395,190,535,445,190,2040,195,11,80,4,12460,8510,2410,1535,1.5,10342,10548,176,15,85,97,3,18,82,52,30,0,82,18,1490,5,110,220,155,35,395,280,295,4515,3740,775,0.4,2541,390,0.6,0.4,0.3,0.7,11.7,186,178,9,,,1,5130
WK001404,Oosterparkwijk,GM0014,Groningen,WK001404,Groningen,Wijk,1,12355,6105,6250,1280,2475,5125,2390,1080,9355,1775,945,280,1615,1945,70,275,225,145,1225,150,12,65,5,8165,5305,1705,1160,1.5,8291,7466,191,21,79,96,4,23,77,49,28,0,79,21,995,0,65,125,110,30,260,245,160,3340,2755,580,0.4,2246,305,0.5,0.5,0.3,0.6,10.5,165,149,16,,,1,4216
WK001405,Zuidoost,GM0014,Groningen,WK001405,Groningen,Wijk,1,3290,1735,1555,380,420,1125,775,590,1980,955,200,160,470,280,5,10,15,30,215,30,9,45,14,1875,975,570,325,1.8,349,1723,276,19,81,93,7,41,59,17,41,0,4,96,1825,5,260,440,180,190,450,160,140,3410,2035,1375,1.8,362,125,0.6,0.8,0.7,1.2,9.5,1001,942,59,,,2,1840
